,name,lat,temp,humidity,cloudiness,wind_speed
0,Tuktoyaktuk,69.44,14.0,85,90,6.93
1,New Norfolk,-42.78,78.8,44,75,9.17
2,Punta Arenas,-53.16,51.8,53,20,33.33
3,Fortuna,38.18,46.4,87,0,4.7
4,Arraial do Cabo,-22.97,72.61,97,8,3.62
5,Hermanus,-34.42,57.49,90,56,8.77
6,Manzhouli,49.6,-11.14,52,0,13.69
7,Cape Town,-33.93,60.8,93,90,12.75
8,Brae,60.4,46.6,87,76,5.82
9,Rikitea,-23.12,79.72,97,56,11.56
10,Srednekolymsk,67.46,-34.86,66,32,2.28
11,Surt,31.21,55.69,100,0,4.97
12,Port Elizabeth,39.31,39.13,57,90,6.93
13,Port Alfred,-33.59,68.78,93,80,18.5
14,Sharjah,25.36,66.18,64,0,3.36
15,Mataura,-46.19,72.61,45,20,17.05
16,Upington,-28.46,62.6,39,0,6.53
17,Albany,42.65,31.42,92,90,5.41
18,Kapaa,22.08,79.11,62,75,16.11
19,Atuona,-9.8,81.07,100,68,19.51
20,Chokurdakh,70.62,-31.44,55,24,2.95
21,Kulhudhuffushi,6.62,78.95,100,56,1.39
22,Grand Gaube,-20.01,77.0,88,40,8.88
23,Pevek,69.7,-6.6,100,36,4.74
24,Jamestown,-33.21,95.47,19,88,17.05
25,Hilo,19.71,77.0,68,40,9.17
26,Port Macquarie,-31.43,77.0,50,12,19.46
27,Gamba,28.28,8.44,32,0,6.64
28,Leningradskiy,69.38,2.68,97,44,20.96
29,Sao Filipe,14.9,73.28,100,0,11.45
30,Sao Felix do Xingu,-6.64,71.44,100,88,1.95
31,Vila Franca do Campo,37.72,55.4,76,20,4.7
32,Dalvik,57.79,37.4,100,92,6.93
33,Sakaraha,-22.91,67.84,80,0,4.29
34,Avarua,-21.21,82.4,61,40,8.05
35,Busselton,-33.64,63.56,100,12,7.87
36,Kavaratti,10.57,83.41,100,44,8.32
37,Hithadhoo,-0.6,82.33,100,48,10.45
38,Ust-Maya,60.42,-29.46,47,56,3.62
39,East London,-33.02,66.2,82,20,11.41
40,Avera,33.19,33.98,91,1,2.95
41,Narsaq,60.91,23.29,85,76,2.06
42,Esperance,10.24,75.2,88,20,5.53
43,Rocha,-34.48,52.4,75,24,7.99
44,Ilo,-17.65,55.91,100,8,3.51
45,Dinghai,26.28,55.4,87,90,24.61
46,Yataity,-26.37,72.2,49,0,5.19
47,Ponta do Sol,-20.63,64.87,95,36,3.18
48,Vaini,15.34,74.32,88,0,3.74
49,Faanui,-16.48,77.24,100,76,12.46
50,Salalah,17.01,71.6,78,20,5.82
51,Ranau,5.95,91.4,70,75,5.82
52,Bluff,-23.58,83.63,48,80,18.16
53,Lira,2.25,59.6,89,0,3.18
54,Georgetown,6.8,73.4,100,40,4.7
55,Mehamn,71.03,37.4,69,75,28.86
56,Coihaique,-45.58,57.72,67,0,4.7
57,Hobart,-42.88,78.8,44,75,9.17
58,Lavrentiya,65.58,23.96,100,76,48.59
59,Meulaboh,4.14,80.71,100,32,3.18
60,Jalu,29.03,48.31,86,8,7.65
61,Conceicao do Araguaia,-8.26,75.35,89,80,4.74
62,Antofagasta,-23.65,62.6,77,0,5.82
63,Constitucion,23.99,59.0,54,5,6.93
64,Mabaruma,8.2,76.48,90,56,5.64
65,Bubaque,11.28,80.93,100,76,10.11
66,Bereda,43.27,53.6,93,0,6.93
67,Luang Prabang,19.89,73.4,83,75,2.24
68,Kaitangata,-46.28,69.64,51,8,14.81
69,Yellowknife,62.45,8.6,84,90,5.82
70,Bonavista,48.65,32.02,100,92,22.86
71,Touros,-5.2,77.0,94,40,3.36
72,La Ronge,55.1,15.8,92,90,4.7
73,Saint-Leu,-21.15,81.46,42,0,3.36
74,Ushuaia,-54.81,48.2,57,40,42.5
75,Carnarvon,-30.97,56.81,42,92,12.8
76,Kaduna,10.52,63.43,36,0,10.78
77,Khatanga,71.98,-3.4,77,76,11.79
78,Dali,25.6,53.21,73,44,1.72
79,Bredasdorp,-34.53,62.6,88,100,2.24
80,Ternate,14.29,89.6,52,20,8.05
81,Bandarbeyla,9.49,79.4,100,92,11.9
82,Abha,18.22,53.6,93,5,6.93
83,Pestyaki,56.71,22.61,90,92,3.74
84,Butaritari,3.07,82.1,100,76,9.22
85,Turukhansk,65.8,-10.15,71,56,11.68
86,Pisco,-13.71,66.2,82,0,5.82
87,Barrow,-38.31,45.83,72,0,7.09
88,Okha,53.59,-2.59,100,44,19.28
89,Auki,12.18,62.08,34,0,8.88
90,Denpasar,-8.65,87.8,74,20,9.17
91,Katsuura,33.93,52.36,58,75,14.99
92,Saravan,39.72,41.0,93,90,4.7
93,Qaanaaq,77.48,7.76,100,80,2.06
94,Mastic Beach,40.77,37.53,64,90,8.05
95,Tartasesti,44.58,28.4,92,90,6.93
96,Bathsheba,13.22,78.8,74,20,17.22
97,Lagdo,9.06,64.28,75,0,3.62
98,Jardim,-21.48,77.78,66,88,9.1
99,Kahului,20.89,75.49,64,20,19.46
100,Puerto Ayora,-0.74,72.52,100,20,11.45
101,Marsa Matruh,31.35,59.0,62,40,13.87
102,Cidreira,-30.17,64.33,79,80,8.32
103,Sola,58.89,47.21,87,76,11.41
104,Portland,45.52,36.1,52,20,21.92
105,Orlik,52.51,-40.3,0,0,1.95
106,Padang,-0.92,82.4,78,40,3.36
107,Farsund,58.09,41.02,100,92,5.64
108,Superior,39.95,21.76,92,40,3.29
109,Lhokseumawe,5.18,77.47,100,92,8.32
110,Dubovka,49.06,19.4,100,90,5.64
111,Berlevag,70.86,37.4,69,75,28.86
112,Ribeira Grande,38.52,65.54,96,56,11.01
113,Castro,-42.48,62.6,55,0,10.29
114,Dafeng,33.2,42.95,75,88,17.27
115,Batagay,67.65,-56.1,0,0,2.62
116,Upernavik,72.79,23.02,100,68,1.05
117,Saint George,39.45,33.53,74,20,5.82
118,Basco,40.33,20.43,86,1,5.82
119,Trancoso,40.78,36.34,85,48,2.39
120,Torbay,47.66,28.4,100,90,39.15
121,Mahebourg,-20.41,77.0,88,40,4.97
122,Benguela,-12.58,73.87,99,12,1.83
123,Hellvik,59.92,42.8,100,75,12.75
124,Itarema,-2.92,72.56,99,56,3.62
125,Boa Vista,2.82,82.4,61,75,6.93
126,Trenggalek,-8.05,81.56,86,24,2.84
127,San Quintin,17.54,81.65,81,0,2.39
128,Zeya,53.74,-12.36,55,48,5.3
129,Orcopampa,-15.27,29.54,82,68,2.51
130,Wairoa,-39.04,59.11,92,12,19.51
131,Sotouboua,8.56,66.53,51,0,4.85
132,Marzuq,14.4,46.42,87,0,3.29
133,San Carlos de Bariloche,-41.13,57.2,54,0,6.93
134,Ewa Beach,21.32,78.03,52,1,8.05
135,Pavlovka,52.69,15.68,88,92,5.97
136,Sergeyevka,53.88,6.95,79,48,2.95
137,Gwanda,-20.94,64.51,86,44,3.29
138,Klaksvik,62.23,42.8,93,76,4.7
139,Dikson,73.51,4.12,100,64,22.75
140,Kotka,60.47,26.6,100,90,4.7
141,Egvekinot,66.32,-3.67,74,32,13.13
142,Nantucket,41.28,35.22,59,90,9.17
143,Lebu,8.96,37.06,81,0,2.62
144,Port Hardy,50.7,28.4,92,40,2.24
145,Moron,10.49,69.01,89,64,3.18
146,Tubuala,9.52,75.2,94,20,10.89
147,Rosarito,4.91,62.93,91,32,1.95
148,Gillette,44.29,14.0,87,1,6.93
149,Chuy,-33.69,60.59,75,92,14.03
150,Puerto Carreno,6.19,80.6,83,0,3.51
151,Cherskiy,68.75,-32.29,57,24,3.18
152,Sosnovo-Ozerskoye,52.53,-20.05,52,0,9.33
153,Sao Joao da Barra,-21.64,77.06,100,20,6.87
154,Kudahuvadhoo,2.67,82.42,100,12,9.1
155,Saint-Philippe,45.36,30.69,84,90,5.82
156,Manavalakurichi,8.13,86.0,74,40,3.36
157,Mandera,3.94,68.6,91,0,2.51
158,Karasjok,69.47,32.0,85,32,34.45
159,Forbes,-33.38,82.73,48,0,7.76
160,Yerbogachen,61.28,-17.76,76,76,7.43
161,Diffa,13.32,62.53,27,0,9.89
162,Half Moon Bay,37.46,52.5,69,1,3.36
163,Husavik,50.56,-5.7,70,48,8.66
164,Iqaluit,63.75,1.4,77,40,6.93
165,San Cristobal,-0.39,55.4,100,75,1.12
166,Codrington,-28.95,74.57,57,40,13.87
167,Poum,41.28,11.0,70,0,1.28
168,Carndonagh,55.25,51.41,93,64,29.68
169,Lundazi,-12.29,68.15,83,12,8.66
170,Victoria,5.28,87.8,74,75,2.24
171,Tuatapere,-46.13,64.01,68,36,16.82
172,Bethel,60.79,31.41,100,90,8.05
173,Ostrovnoy,68.05,23.24,89,0,17.05
174,Gat,14.69,71.46,78,0,9.17
175,Fort Nelson,58.81,-2.21,84,20,2.28
176,Provideniya,64.42,15.8,85,90,29.08
177,Ocampo,13.56,79.85,97,88,11.79
178,Phan Thiet,10.93,84.13,84,12,15.82
179,Coromandel,-36.76,66.2,63,48,20.8
180,Worland,44.02,8.2,87,1,5.53
181,Mporokoso,-9.37,59.24,91,8,3.85
182,Libohove,40.03,42.8,93,0,2.39
183,Ahipara,-35.17,67.25,66,0,15.93
184,Kruisfontein,-34.0,64.51,89,92,8.99
185,Hasaki,35.73,54.99,87,75,4.7
186,Acapulco,16.86,80.6,88,5,1.72
187,Caravelas,-17.73,78.64,100,92,6.08
188,Poyarkovo,49.62,-10.47,53,20,8.99
189,Bozoum,6.31,61.99,52,0,5.08
190,Mogadishu,2.04,80.71,100,64,12.8
